SURFACE 184:Surface Outside Face Temperature [C](Hourly),SUB SURFACE 63:Surface Outside Face Temperature [C](Hourly),SURFACE 185:Surface Outside Face Temperature [C](Hourly),SUB SURFACE 67:Surface Outside Face Temperature [C](Hourly),SURFACE 186:Surface Outside Face Temperature [C](Hourly),SUB SURFACE 58:Surface Outside Face Temperature [C](Hourly)
1.048819645,3.788026447,1.04374412,3.788026447,1.044302964,3.788026447
0.581990387,3.055343937,0.577191028,3.055343937,0.577722743,3.055343937
0.197800077,2.758493609,0.193237784,2.758493609,0.193745096,2.758493609
-0.102734337,2.509085432,-0.107088821,2.509085432,-0.106603563,2.509085432
-0.296871207,2.641302482,-0.301050246,2.641302482,-0.300583938,2.641302482
-0.338332871,2.943145497,-0.342372477,2.943145497,-0.341921383,2.943145497
-0.376212525,3.12085156,-0.38011786,3.12085156,-0.379681561,3.12085156
5.04E-02,3.331825993,4.65E-02,3.330422854,4.69E-02,3.330420776
1.778545294,3.89144133,1.773947991,3.891074253,1.774290975,3.891064877
2.708170524,5.261650277,2.70309778,5.261210802,2.705174985,5.261786002
3.967551113,6.77779989,3.962300709,6.777347636,3.968096534,6.778673475
4.959002773,7.957240995,4.953468213,7.956735108,4.958746312,7.957349748
5.677954539,8.467535131,5.667826692,8.465591425,5.670087543,8.465577373
6.156419928,8.735655537,6.137167989,8.73172764,6.138620613,8.731714495
6.411044902,9.382078216,6.387757694,9.378166637,6.388952036,9.378151784
6.407611918,9.465532989,6.386784623,9.462831261,6.386503012,9.462399033
